"","Country","Region","Code","Date","Sex","Age","AgeInt","Metric","Measure","Value"
"1","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","0",10,"Count","Deaths",0
"2","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","10",10,"Count","Deaths",0
"3","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","20",10,"Count","Deaths",0
"4","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","30",10,"Count","Deaths",5
"5","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","40",10,"Count","Deaths",5
"6","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","50",10,"Count","Deaths",18
"7","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","60",10,"Count","Deaths",60
"8","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","70",10,"Count","Deaths",173
"9","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","80",10,"Count","Deaths",187
"10","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","90",15,"Count","Deaths",62
"11","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","0",10,"Count","Deaths",0
"12","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","10",10,"Count","Deaths",0
"13","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","20",10,"Count","Deaths",0
"14","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","30",10,"Count","Deaths",1
"15","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","40",10,"Count","Deaths",0
"16","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","50",10,"Count","Deaths",8
"17","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","60",10,"Count","Deaths",22
"18","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","70",10,"Count","Deaths",77
"19","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","80",10,"Count","Deaths",169
"20","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","90",15,"Count","Deaths",89
"21","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","0",10,"Count","Cases",23
"22","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","10",10,"Count","Cases",23
"23","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","20",10,"Count","Cases",178
"24","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","30",10,"Count","Cases",392
"25","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","40",10,"Count","Cases",590
"26","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","50",10,"Count","Cases",757
"27","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","60",10,"Count","Cases",824
"28","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","70",10,"Count","Cases",838
"29","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","80",10,"Count","Cases",597
"30","Spain","Valencia","ES_VC12.04.2020","12.04.2020","m","90",15,"Count","Cases",148
"31","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","0",10,"Count","Cases",19
"32","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","10",10,"Count","Cases",35
"33","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","20",10,"Count","Cases",260
"34","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","30",10,"Count","Cases",508
"35","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","40",10,"Count","Cases",714
"36","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","50",10,"Count","Cases",815
"37","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","60",10,"Count","Cases",687
"38","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","70",10,"Count","Cases",647
"39","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","80",10,"Count","Cases",687
"40","Spain","Valencia","ES_VC12.04.2020","12.04.2020","f","90",15,"Count","Cases",316
"41","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","0",10,"Count","Deaths",0
"42","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","10",10,"Count","Deaths",0
"43","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","20",10,"Count","Deaths",1
"44","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","30",10,"Count","Deaths",5
"45","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","40",10,"Count","Deaths",5
"46","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","50",10,"Count","Deaths",19
"47","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","60",10,"Count","Deaths",62
"48","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","70",10,"Count","Deaths",176
"49","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","80",10,"Count","Deaths",195
"50","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","90",15,"Count","Deaths",64
"51","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","0",10,"Count","Deaths",0
"52","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","10",10,"Count","Deaths",0
"53","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","20",10,"Count","Deaths",0
"54","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","30",10,"Count","Deaths",1
"55","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","40",10,"Count","Deaths",0
"56","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","50",10,"Count","Deaths",8
"57","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","60",10,"Count","Deaths",23
"58","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","70",10,"Count","Deaths",77
"59","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","80",10,"Count","Deaths",176
"60","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","90",15,"Count","Deaths",95
"61","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","0",10,"Count","Cases",24
"62","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","10",10,"Count","Cases",23
"63","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","20",10,"Count","Cases",179
"64","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","30",10,"Count","Cases",398
"65","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","40",10,"Count","Cases",598
"66","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","50",10,"Count","Cases",776
"67","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","60",10,"Count","Cases",842
"68","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","70",10,"Count","Cases",857
"69","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","80",10,"Count","Cases",605
"70","Spain","Valencia","ES_VC13.04.2020","13.04.2020","m","90",15,"Count","Cases",151
"71","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","0",10,"Count","Cases",19
"72","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","10",10,"Count","Cases",36
"73","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","20",10,"Count","Cases",264
"74","Spain","Valencia","ES_VC13.04.2020","13.04.2020","f","30",10,"Count","Cases",514
